DX100,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,Chart1,Chart2,Detail,Notes
5010,ANALOG INPUT ERROR(YCP02),Analog input value for YCP02 board is abnormal.,,Sub code: Indicates the channel where the error occurred. ,Analog input error,"(1)Check the cable.
(2)Replace YCP02 board. ",,,,COMARC
5011,TRANSMISSION ERROR(YCP02),"COMARC:Sirial transmission error is  occurred on JANCD-YCP02 board
Laser tracking:Transmission error is  occurred between DX100 and laser sensor unit.",0000_0001,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_0010,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_0011,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_0100,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_0101,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_0110,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_0111,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_1000,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_1001,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_1010,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_1011,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_1100,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_1101,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_1110,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0000_1111,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_0000,"COMARC:Checksum error
Laser tracking:Transmission error","COMARC:Sirial transmission error
Laser tracking:Transmission error is  occurred between DX100 and laser sensor unit.","[COMARC]
(1)Replace the transmission cable.
(2)Replace JANCD-YCP02.
[Laser tracking]
(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,"COMARC
Laser tracking"
,,,0001_0001,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_0010,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_0011,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_0100,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_0101,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_0110,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_0111,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_1000,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_1001,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_1010,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_1011,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0001_1100,Transmission error,Transmission error is  occurred between DX100 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of DX100 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-YCP01 CN104 and the cable from laser sensor unit.
(4)Replace JANCD-YCP01 board and the cable.",,,,Laser tracking
,,,0010_0000,NAK command receive error,Sirial transmission error,"(1)Replace the transmission cable.
(2)Replace JANCD-YCP02.",,,,Laser tracking
,,,0011_0000,Transmission process time over,Sirial transmission error,"(1)Replace the transmission cable.
(2)Replace JANCD-YCP02.",,,,Laser tracking
,,,0100_0000,Reception process time over,Sirial transmission error,"(1)Replace the transmission cable.
(2)Replace JANCD-YCP02.",,,,Laser tracking
5012,SYSTEM ERROR(COMARC),An error occurred at sensor part in COMARC function,0,System task mail send error ,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,COMARC
,,,1,System task mail receive error ,Software operation error occurred,"(1)Reset the alarm, and then try again.
(3)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,COMARC
,,,2,Sensing task mail send error ,Software operation error occurred,"(1)Reset the alarm, and then try again.
(4)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,COMARC
,,,3,Sensing task mail receive error ,Software operation error occurred,"(1)Reset the alarm, and then try again.
(5)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,COMARC
,,,4,Transmission task mail send error ,Software operation error occurred,"(1)Reset the alarm, and then try again.
(6)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,COMARC
,,,5,Transmission task mail receive error ,Software operation error occurred,"(1)Reset the alarm, and then try again.
(7)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,COMARC
