DX200,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,ê}ï\1,ê}ï\2,è⁄ç◊ê‡ñæ(ãZèpé“óp),Notes
1000,ROM ERROR(YCP21),A checksum error occurred in the ROM of YCP21 (main CPU board).,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
1001,ROM ERROR(EAXA21),This alarm is caused by faulty data in ROM of EAXA21 (AXIS board).,11,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,12,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,13,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,14,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,15,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,16,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,17,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXB21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXB21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,18,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXB21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXB21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,19,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXB21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXB21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,20,The SRDY signal did not turn ON after the WRITE ENABLE command was written. (EEPROM WRITE ENABLE error),EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,21,The SRDY signal did not turn ON after the WRITE PROTECT command was written. (EEPROM WRITE PROTECT error),EAXA21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA21 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
