DX200,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name,Contents,Sub Code,Meaning,Cause,Remedy,図表1,図表2,詳細説明(技術者用),Notes
0010,CPU BOARD INSERTION ERROR,YCP21board detect the connection and insertion board error when the control power turned ON.,30,YCP21 board was not able to recognize YSF21 board when the control power turned ON.,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the YSF21 board.",,,,HWC
,,,,,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.
- YSF21 board",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
0020,CPU COMMUNICATION ERROR,"The DX200 previously stores the connected CPU boards, and checks if each board properly responds on a startup. This alarm occurs if there is any CPU board which does not properly respond to the DX200.",1,No response was sent from the YCP21 board when the control power turned ON.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connectors.
- The PCI connector of YCP21 board
- The PCI connector of the YIF01 board",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board.",,,,HWC
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,20,No response was sent from the optional board #1 when the control power turned ON.,Setting error,"(1)Check the following settings.
- Optional board setting in maintenance mode",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- The PCI connector of YCP02 board",,,,HWC
,,,,,YCP02 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.
- YCP02 board",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board.",,,,HWC
,,,,,YIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
