NX100,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm number,Alarm Name,Contents,Sub Code,Meaning,Cause,Remedy,1,2,3,Notes
20,CPU COMMUNICA- TION ERROR,,,,An error occurred in communications between boards when the control power turned ON.,,,,,
,,,10,,No response was sent from the optional board #1.,"Turn the power OFF then back ON. Check that the optional board is correctly inserted.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,20,,No response was sent from the optional board #2.,,,,,
,,,50,,No response was sent from the servo board #1.,"Turn the power OFF then back ON.  Check the connections of communications cable, terminator terminal, and the station number settings.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,51,,No response was sent from the servo board #2.,,,,,
,,,52,,No response was sent from the servo board #3.,,,,,
,,,53,,No response was sent from the servo board #4.,,,,,
21,COMMUNICA- TION ERROR (SERVO),,50,,"An error occurred in communications with the servo board #1.
The communications CPU for the servo board #1 detected an error when the control power turned ON.","Turn the power OFF then back ON.  Check the connections of communications cable, terminator terminal, and the station number settings.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,51,,"An error occurred in communications with the servo board #2.
The communications CPU for the servo board #2 detected an error when the control power turned ON.",,,,,
,,,52,,"An error occurred in communications with the servo board #3.
The communications CPU for the servo board #3 detected an error when the control power turned ON.",,,,,
,,,53,,"An error occurred in communications with the servo board #4.
The communications CPU for the servo board #4 detected an error when the control power turned ON.",,,,,
30,ROM ERROR,,,,The system program file is damaged.,,,,,
,,,1,,The NCP01 system program is damaged.,"If the error occurs again, contact your Yaskawa representative.",,,,
,,,10,,The system program of optional board #1 is damaged.,,,,,
,,,20,,The system program of optional board #2 is damaged.,,,,,
,,,50,,The system program of servo board #1 is damaged.,,,,,
,,,51,,The system program of servo board #2 is damaged.,,,,,
,,,52,,The system program of servo board #3 is damaged.,,,,,
,,,53,,The system program of servo board #4 is damaged.,,,,,
60,COMMUNICA- TION ERROR (I/O MODULE),,1 to 15,,An error was detected in communications with an I/O module board when the control power turned ON.,"Turn the power OFF then back ON.  Check the connections of communications cable, terminator terminal, and the station number settings.
If the error occurs again, contact your Yaskawa representative.",,,,
100,COMMUNICA- TION ERROR (AXA#1),,1,,"An error occurred in communications with the servo board #1.
The error was detected during the check of the CERF communication watchdog data.","Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,"An error occurred in communications with the servo board #1.
The error was detected during the check of the number of the CERF communications.",,,,,
101,COMMUNICA- TION ERROR (AXA#2),,1,,"An error occurred in communications with the servo board #2.
The error was detected during the check of the CERF communication watchdog data.",,,,,
,,,2,,"An error occurred in communications with the servo board #2.
The error was detected during the check of the number of the CERF communications.",,,,,
102,COMMUNICA- TION ERROR (AXA#3),,1,,"An error occurred in communications with the servo board #3.
The error was detected during the check of the CERF communication watchdog data.",,,,,
,,,2,,"An error occurred in communications with the servo board #3.
The error was detected during the check of the number of the CERF communications.",,,,,
103,COMMUNICA- TION ERROR (AXA#4),,1,,"An error occurred in communications with the servo board #4.
The error was detected during the check of the CERF communication watchdog data.","Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
103,COMMUNICA- TION ERROR (AXA#4),,2,,"An error occurred in communications with the servo board #4.
The error was detected during the check of the number of the CERF communications.","Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
200,MEMORY ERROR (PARAMETER FILE),,,,The parameter file is damaged.,,,,,
,,,0,,RC parameter,"Initialize the corresponding parameter file in the maintenance mode.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,1,,RO parameter,,,,,
,,,2,,SV parameter,,,,,
,,,3,,SVM parameter,,,,,
,,,4,,SC parameter,,,,,
,,,5,,SD parameter,,,,,
,,,6,,CIO parameter,,,,,
,,,7,,FD parameter,,,,,
,,,8,,AP parameter,,,,,
,,,9,,RS parameter,,,,,
,,,10,,SE parameter,,,,,
,,,11,,SVC parameter,,,,,
,,,12,,AMC parameter,,,,,
,,,13,,SVP parameter,,,,,
,,,14,,MF parameter,,,,,
,,,15,,SVS parameter,,,,,
210,MEMORY ERROR (SYSTEM CONFIG-DATA),,0,,The system configuration information data are damaged.,"Initialize the system.
If the error occurs again, contact your Yaskawa representative.",,,,
220,"MEMORY ERROR
(JOB MNG DATA)",,0,,The management data of job files are damaged.,"Initialize the job files in the maintenance mode.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,1,,The job files are damaged.,,,,,
,,,2,,The management data of position data files are damaged.,,,,,
,,,3,,The memory play file is damaged.,"Initialize the memory play file.
If the error occurs again, contact your Yaskawa representative.",,,,
230,MEMORY ERROR (LADDER PRG FILE),,0,,The concurrent I/O ladder program is damaged.,"Initialize the concurrent I/O ladder program. If the error occurs again, contact your Yaskawa representative.",,,,
240,MEMORRY ERROR (DEVICENET ALLOC FL),,0,,The DeviceNet allocation file1 is damaged.,"Use the IO module setting screen in the maintenance mode to initialize the DeviceNet allocation file.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,1,,The DeviceNet allocation file2 is damaged.,,,,,
300,VERIFY ERROR (SYSTEM CONFIG-DATA),,2,,The setting of concurrent I/O parameter is incorrect.,Set a correct module for the concurrent I/O parameter in the maintenance mode.,,,,
,,,3,,An invalid value is set for the segment clock.,Set a correct value for the segment clock.,,,,
,,,4,,Inconsistency was detected in axis-related parameters.,Correctly set the axis-related parameters.,,,,
,,,5,,Inconsistency was detected in sensor parameters.,Correctly set the sensor parameters.,,,,
300,VERIFY ERROR (SYSTEM CONFIG-DATA),,7,,The set optional functions are different from those of the mounted optional board.,Use the functions of the mounted optional board.,,,,
,,,8,,The function designation for the concurrent I/O parameter is incorrect.,Set the correct module for the concurrent I/O parameter in the maintenance mode.,,,,
310,VERIFY ERROR (CMOS MEMORY SIZE),,0,,The CMOS memory capacity is different from its initial setting.,Initialize the system or use a NIF board with correct CMOS capacity.,,,,
320,VERIFY ERROR (I/O MODULE),,1 to 15,,The connected I/O module is different from the function of the set I/O module.,Connect a correct I/O module.,,,,
,,,16,,The I/O module connected to the PCI bus is different from the function of the set I/O module.,,,,,
,,,17,,,,,,,
330,VERIFY ERROR (SENSOR FUNCTION),,0,,Inconsistency was detected in the application setting parameters.,Correctly set the application setting parameters.,,,,
350,VERIFY ERROR (DEVICENET ALLOC FL),,0,,"The station no. specified by the DeviceNet allocation file1 is incorrect (the station No. is out of the allowable range, or the specified station board is not the DeviceNet master).","Use the IO module setting screen in the maintenance mode to initialize the DeviceNet allocation file.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,1,,The MAC_ID specified by the DeviceNet allocation file1 is not consistent with the MAC_ID of the specified station board.,,,,,
,,,2,,Inconsistency was detected in the scan list of the DeviceNet allocation file1.,,,,,
,,,10,,"The station no. specified by the DeviceNet allocation file2 is incorrect (the station No. is out of the allowable range, or the specified board is not the DeviceNet master).",,,,,
,,,11,,The MAC_ID specified by the DeviceNet allocation file2 is not consistent with the MAC_ID of the specified station board.,,,,,
,,,12,,Inconsistency was found in the scan list of the DeviceNet allocation file2.,,,,,
370,VERIFY ERROR (SPOT POWER SOURCE I/F),,0,,The designation in the parameter is different from the connected welding timer.,Set a correct value for the welding timer designation.,,,,
390,VERIFY ERROR (SEGMENT CLOCK),,1,,The segment clock value which is out of allowable range is set.,"Set a correct value for the segment clock. If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,The set value of segment clock is insufficient for communication with the servo board. Communication cannot be performed with the servo board,"Set a correct value, which is larger than the current value, for the segment clock.
If the error occurs again, contact your Yaskawa representative.",,,,
400,PARAMETER TRANSMISSION ERROR,,"50 to
53",,An error occurred during the parameter/file transfer to the servo board.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
410,MODE CHANGE ERROR,,,,"An error occurred during startup sequence processing with the servo CPU, and the system did not startup normally.","Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
420,DEVICENET ALLOC FL TRANSMIT ERR,,0,,The DeviceNet allocation file1 could not be transmitted to the specified station.,"Verify the connection state of the DeviceNet board specified by the DeviceNet allocation file.
Use the IO module setting screen in the maintenance mode to initialize the DeviceNet allocation file.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,1,,The DeviceNet allocation file2 could not be transmitted to the specified station.,,,,,
500,SEGMENT PROC NOT READY,,,,Motion command processing was not completed within the specified time.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
510,SOFTWARE VERSION UNMATCH,,,,The combination of the main system program and the servo system program is incorrect.,Correct the combination.,,,,
520,AXIS LIMIT OVER,,0,,More axes than the set value are used.,"Set the control group in the maintenance mode with the connectable number of axes. If the error occurs again, contact your Yaskawa representative.",,,,
600,MEDAR STATUS ERROR,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
601,MEDAR DIAGNOSIS ERROR,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
602,MEDAR VERSION ERROR,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
603,MEDAR REVISION ERROR,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
604,MEDAR MODE CHANGE ERROR,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
605,MEDAR SCHEDULE TRANSMIT ERROR,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
606,MEDAR ERROR1,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
607,MEDAR ERROR2,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
608,MEDAR WELDER TYPE MISMATCH,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
609,MEDER PARAMETER ERROR,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
610,MEDAR STEPPER TRANSMIT ERROR,,,,Refer to the instruction manual for the MEDAR function.,Refer to the instruction manual for the MEDAR function.,,,,
710,LADDER INITIALIZE ERROR,,,,The ladder could not be initialized successfully.,Refer to the instruction manual for the MEDAR function.,,,,
720,LADDER PROGRAM ERROR,,1,,An error was found in the relay no. specification.,"Use a correct ladder program.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,An error was found in the register no. specification.,,,,,
,,,3,,An incorrect instruction was entered.,,,,,
720,LADDER PROGRAM ERROR,,4,,Output register is used redundantly.,"Use a correct ladder program.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,5,,Output relay is used redundantly.,,,,,
,,,6,,Unconnected relay exists.,,,,,
,,,7,,The STR instructions are overused.,,,,,
,,,8,,The AND-STR instructions are overused.,,,,,
,,,9,,A syntax error was found in the CNT instruction.,,,,,
,,,10,,The head of the block starts with an instruction other than the STR instruction.,,,,,
,,,11,,The memory capacity is exceeded due to excessive machine codes.,,,,,
,,,12,,The last instruction is not the END instruction.,,,,,
,,,13,,An error was found in the PART instruction.,,,,,
,,,14,,An error was found in the GOUT instruction.,,,,,
,,,15,,The No. of operand is incorrect.,,,,,
,,,16,,The constant value is incorrect.,,,,,
,,,17,,The step capacity exceeds the memory capacity.,,,,,
,,,18,,The operation instructions are overused.,,,,,
,,,19,,A syntax error was found in the CNT instruction or TMR instruction.,,,,,
,,,20,,A syntax error was found in the JMP-LABEL instructions.,,,,,
,,,21,,The label of JMP destination does not exist.,,,,,
801,FILE LOAD ERROR (NCP01 CF),,File No.,,The file in the NCP01 CF could not be retrieved correctly.,"Perform ""DATA REBUILD"" in the maintenance mode.
If the error occurs again, contact your Yaskawa representative.",,,,
802,FILE LOAD ERROR (NCP01 CF),,Error code,,An error occurred in access to the NCP01 CF.,"Perform ""DATA REBUILD"" in the maintenance mode.
If the error occurs again, contact your Yaskawa representative.",,,,
810,TOYOPUC ALLOC DEF ERROR,,0,,The TOYOPUC board cannot be identified,Verify that the TOYOPUC board is normally installed.,,,,
,,,1,,An error was found in the input/ output direction data of allocation configuration.,Verify and modify the allocation configuration data for the TOYOPUC.,,,,
,,,3,,"In the output side setting of allocation configuration data, the specified R-register start No. for the TOYOPUC exceeds the R- register limit.",,,,,
,,,4,,"In the output side setting of allocation configuration data, the set number to use the input side R-register of the TOYOPUC exceeds the R-register limit.",,,,,
810,TOYOPUC ALLOC DEF ERROR,,5,,"In the output side setting of allocation configuration data, the set number to use the M-register of concurrent I/O exceeds the M- register limit.",Verify and modify the allocation configuration data for the TOYOPUC.,,,,
,,,8,,An error was found in the type set for output direction of allocation configuration data.,,,,,
,,,9,,An error was found in the type set for input direction of allocation configuration data.,,,,,
,,,10,,An error was found in the type specified for system data of allocation configuration data.,,,,,
,,,12,,"An error was found in the specified number of registers which are used by the system data ""CURR.POS. (PULSE)"" of
allocation configuration.",,,,,
,,,14,,"An error was found in the specified number of registers which are used by the system data ""CURR.POS. (XYZ)"" of allocation configuration.",,,,,
,,,16,,"An error was found in the specified number of registers which are used by the system data ""WELDING INFO."" of allocation configuration.",,,,,
,,,18,,"An error was found in the specified number of registers which are used by the system data ""TASK INFO."" of allocation configuration.",,,,,
,,,20,,"An error was found in the specified number of registers which are used by the system data ""EXECUTE PROGRAM INFO."" of
allocation configuration.",,,,,
,,,22,,"An error was found in the specified number of registers which are used by the system data ""INST. MESSAGE"" of allocation configuration.",,,,,
,,,23,,An error was found in the specified number of registers which are used by the system data.,,,,,
,,,30,,"In the input side setting of allocation configuration data, the specified R-register start No. for the TOYOPUC exceeds the R- register limit.",,,,,
,,,31,,"In the input side setting of allocation configuration data, the set number to use the input side R-register of the TOYOPUC exceeds the R-register limit.",,,,,
810,TOYOPUC ALLOC DEF ERROR,,34,,"An error was found in the specified number of registers which are used by the system data ""standard time setting data"" of allocation configuration.",Verify and modify the allocation configuration data for the TOYOPUC.,,,,
,,,41,,"In the output side setting of allocation configuration data, some of the TOYOPUC�s R- registers are specified redundantly.",,,,,
,,,42,,"In the output side setting of allocation configuration data, some of the M-registers of concurrent I/O are specified redundantly.",,,,,
,,,44,,"In the input side setting of allocation configuration data, some of the TOYOPUC�s R- registers are specified redundantly.",,,,,
,,,45,,"In the input side setting of allocation configuration data, some of the M-registers of concurrent I/O are specified redundantly.",,,,,
900,WATCHDOG TIMER ERROR (NIF BOARD),,,,A system operation error occurred.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
910,CPU ERROR (NCP01),,Vector No.,,An error was detected in the CPU.,Replace the NCP01 board.,,,,
911,CPU ERROR (NCP02#1),,100,,An error was detected in the CPU of the optional board#1.,Replace the corresponding optional board.,,,,
912,CPU ERROR (NCP02#2),,100,,An error was detected in the CPU of the optional board#2.,Replace the corresponding optional board.,,,,
920,BUS ERROR (NCP01),,1,,The JL chip does not operate normally.,Replace the NCP01 board.,,,,
930,CPU HANG UP ERROR (NCP01),,0,,Power lost is detected,"Verify the state of primary power supply. Verify the CPS power supply.
If the error occurs again, contact your Yaskawa representative.",,,,
950,CPU ERROR (AXA#1),,100,,An error was detected in the CPU of servo board #1.,Replace the corresponding servo board.,,,,
951,CPU ERROR (AXA#2),,100,,An error was detected in the CPU of servo board #2.,,,,,
952,CPU ERROR (AXA#3),,100,,An error was detected in the CPU of servo board #3.,,,,,
