YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name,Contents,Sub Code,Meaning,Cause,Remedy,図表1,図表2,詳細説明(技術者用),Notes
0010,CPU BOARD INSERTION ERROR (SV),ACP01 board detect the connection and insertion board error of SDCA01 board when the control power turned ON.,,"ACP01 board was not able to recognize SDCA01 board when the control power turned ON.
SubCode:Subcode shows the error part of SDCA01 board. (There is possibility of combination of follow boards)
0000_0001 : SDCA01#1
0000_0010 : SDCA01#2
0000_0100 : SDCA01#3
0000_1000 : SDCA01#4
0001_0000 : SDCA01#5
0010_0000 : SDCA01#6
0100_0000 : SDCA01#7
1000_0000 : SDCA01#8",Setting error,"Check the following settings.
Not found the ASF01 board (RSW=0).
- The SDCA01 board rotary switch setting (0) 
- The rotary switch setting is overlapped to the other SDCA01 board rotary switch setting. Check the rotary switch setting.
- The rotary switch setting is different from the ASF01 board on the SDCA01 board rotary switch setting. Check the rotary switch setting. Check the rotary switch setting.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN155",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board.",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
0011,CPU BOARD INSERTION ERROR (Safety),ACP01 board detect the connection and insertion board error of ASF01 board when the control power turned ON.,,"ACP01 board was not able to recognize ASF01 board when the control power turned ON.
SubCode:Subcode shows the error part of ASF01 board. (There is possibility of combination of follow boards)
0000_0001 : ASF01#1
0000_0010 : ASF01#2
0000_0100 : ASF01#3
0000_1000 : ASF01#4
0001_0000 : ASF01#5
0010_0000 : ASF01#6
0100_0000 : ASF01#7
1000_0000 : ASF01#8",Setting error,"Check the following settings.
Not found the ASF01 board (RSW=0).
- The ASF01 board rotary switch setting (0) 
",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- CN207 cable of ASF01 board
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- CNBXconnector of  SDCA01 board and ASF01 board
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN155",,,,HWC
,,,,,ASF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the ASF01 board.",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
0012,CPU BOARD SETTING ERROR ,ACP01 board detect the setting error of ASF01 board when the control power turned ON.,1,ACP01 board was not able to recognize ASF01 board when the control power turned ON.,Setting error,"Check the following settings.
Not found the ASF01 board (RSW=0).
- The ASF01 board rotary switch setting (0) 
",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- CN207 cable of ASF01 board
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- CNBXconnector of  SDCA01 board and ASF01 board
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN155",,,,HWC
,,,,,ASF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the ASF01 board.",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,2,No response was sent from the ASF01 board when the control power turned ON.,Setting error,"Check the following settings.
Not found the ASF01 board (RSW=0).
- The ASF01 board rotary switch setting (0) 
",,,,HWC
,,,,,ASF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ASF01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,3,No response was sent from the ASF01 board when the control power turned ON.,Setting error,"Check the following settings.
Not found the ASF01 board (RSW=0).
- The ASF01 board rotary switch setting (0) 
",,,,HWC
,,,,,ASF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ASF01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,4,No response was sent from the SDCA01 board #1 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is overlapped to the other SDCA01 board rotary switch setting. Check the rotary switch setting.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN155",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU01 unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,5,No response was sent from the SDCA01 board #2 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is overlapped to the other SDCA01 board rotary switch setting. Check the rotary switch setting.
",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- CN207 cable of ASF01 board
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- CNBXconnector of  SDCA01 board and ASF01 board
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN155",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU01 unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,6,No response was sent from the SDCA01 board #3 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is overlapped to the other SDCA01 board rotary switch setting. Check the rotary switch setting.
",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- CN207 cable of ASF01 board
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- CNBXconnector of  SDCA01 board and ASF01 board
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN155",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU01 unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,7,No response was sent from the SDCA01 board #4 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is overlapped to the other SDCA01 board rotary switch setting. Check the rotary switch setting.
",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- CN207 cable of ASF01 board
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- CNBXconnector of  SDCA01 board and ASF01 board
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN155",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU01 unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,8,No response was sent from the SDCA01 board #5 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is overlapped to the other SDCA01 board rotary switch setting. Check the rotary switch setting.
",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- CN207 cable of ASF01 board
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- CNBXconnector of  SDCA01 board and ASF01 board
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN155",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU01 unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,9,No response was sent from the SDCA01 board #6 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is overlapped to the other SDCA01 board rotary switch setting. Check the rotary switch setting.
",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- CN207 cable of ASF01 board
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- CNBXconnector of  SDCA01 board and ASF01 board
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN155",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU01 unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
