YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,}•\1,}•\2,ŹÚŤ×ŕ–ľ(‹ZŹpŽŇ—p),Notes
1000,ROM ERROR(ACP01),A checksum error occurred in the ROM of ACP01 (main CPU board).,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
1001,ROM ERROR(SDCA01),This alarm is caused by faulty data in ROM of SDCA01 board.,11,A checksum error occurred in the board or the EEPROM.(*: axis No.),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe
.",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,12,A checksum error occurred in the board or the EEPROM.(*: axis No.),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,13,A checksum error occurred in the board or the EEPROM.(*: axis No.),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,14,A checksum error occurred in the board or the EEPROM.(*: axis No.),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,15,A checksum error occurred in the board or the EEPROM.(*: axis No.),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,16,A checksum error occurred in the board or the EEPROM.(*: axis No.),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,17,A checksum error occurred in the board or the EEPROM.(*: axis No.),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,18,A checksum error occurred in the board or the EEPROM.(*: axis No.),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,19,A checksum error occurred in the board or the EEPROM.(*: axis No.),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,20,The SRDY signal did not turn ON after the WRITE ENABLE command was written. (EEPROM WRITE ENABLE error),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
