YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,図表1,図表2,詳細説明(技術者用),Notes
5010,ANALOG INPUT ERROR(ACP02),Analog input error is occured on the ACP02 board.,,Sub Code shows the input error channel.,Analog input error,"(1)Check the cable connection.
(2)Replace the ACP02 board.",,,,COMARC
,,,,,,,,,,COMARC
,,,,,,,,,,COMARC
5011,TRANSMISSION ERROR((ACP02),"COMARC:Serial transmission error is  occurred on JANCD-ACP02 board
Laser tracking:Transmission error is  occurred between YRC1000 and laser sensor unit.",0000_0001,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_0010,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_0011,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_0100,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_0101,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_0110,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_0111,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_1000,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_1001,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_1010,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_1011,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_1100,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_1101,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_1110,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0000_1111,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_0000,"COMARC:Checksum error
Laser tracking:Transmission error","COMARC:Serial transmission error
Laser tracking:Transmission error is  occurred between YRC1000 and laser sensor unit.","[COMARC]
(1)Replace the transmission cable.
(2)Replace JANCD-YCP02.
[Laser tracking]
(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,"COMARC
Laser tracking"
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,"COMARC
Laser tracking"
,,,0001_0001,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_0010,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_0011,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_0100,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_0101,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_0110,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_0111,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_1000,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_1001,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_1010,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_1011,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0001_1100,Transmission error,Transmission error is  occurred between YRC1000 and laser sensor unit.,"(1)Reset the alarm, and then try again.
(2)Turn off the power of YRC1000 and Laser sensor unit, and turn on. 
(3)Check the connection between connector on JANCD-ACP01 CN105 or CN106 and the cable from laser sensor unit.
(4)Replace JANCD-YCP21 board and the cable.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0010_0000,NAK command receive error,Serial transmission error,"(1)Replace the transmission cable.
(2)Replace JANCD-YCP02.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
