YRC1000micro,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name,Contents,Sub Code,Meaning,Cause,Remedy,図表1,図表2,詳細説明(技術者用),Notes
0010,CPU BOARD INSERTION ERROR (SV),ACP31 board detect the connection and insertion board error when the control power turned ON.,,"Not able to recognize ACP31 board when the control power turned ON.
SubCode:Subcode shows the error part of ACP31 board. (There is possibility of combination of follow boards)
0000_0001 : ACP31#1
0000_0010 : ACP31#2",Setting error,"Check the following settings.
Not found the ACP31 board (RSW=0).
- The Upper side of ACP31 board rotary switch setting (0) 
- The rotary switch setting is overlapped to the other ACP31 board rotary switch setting. Check the rotary switch setting.",,,,HWC
,,,,,ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
0011,CPU BOARD INSERTION ERROR (Safety),ACP31 board detect the connection and insertion board error of ASF30 board when the control power turned ON.,,"ACP31 board was not able to recognize ASF30 board when the control power turned ON.
SubCode:Subcode shows the error part of ASF30 board. (There is possibility of combination of follow boards)
0000_0001 : ASF30#1
0000_0010 : ASF30#2",Setting error,"Check the following settings.
- There is RSW on the ASF30 board.
- The ASF30 board rotary switch setting (0) ",,,,HWC
,,,,,ASF30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
0012,CPU BOARD SETTING ERROR ,ACP31 board detect the setting error of ASF30 board when the control power turned ON.,1,ACP31 board was not able to recognize ASF30 board when the control power turned ON.,Setting error,"Check the following settings.
- There is RSW on the ASF30 board.
- The ASF30 board rotary switch setting (0) ",,,,HWC
,,,,,ASF30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,2,No response was sent from the ASF30 board when the control power turned ON.,Setting error,"Check the following settings.
- There is RSW on the ASF30 board.
- The ASF30 board rotary switch setting (0) 
",,,,HWC
,,,,,ASF30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,3,No response was sent from the ASF30 board when the control power turned ON.,Setting error,"Check the following settings.
- There is RSW on the ASF30 board.
- The ASF30 board rotary switch setting (0) 
",,,,HWC
,,,,,ASF30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,4,No response was sent from the ACP31 board #1 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is overlapped to the other Upper side of  ACP31 board rotary switch setting. Check the rotary switch setting.
",,,,HWC
,,,,,ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,PS01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,5,No response was sent from the ACP31 board #2 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is overlapped to the other Upper side of ACP31 board rotary switch setting. Check the rotary switch setting.
",,,,HWC
,,,,,ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,PS01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,12,No response was sent from the ACP31 board #1 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is different from the ASF30 board on the ACP31 board rotary switch setting. Check the rotary switch setting. ",,,,HWC
,,,,,ASF30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,PS01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,13,No response was sent from the ACP31 board #2 when the control power turned ON. ,Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The rotary switch setting is different from the ASF30 board on the ACP31 board rotary switch setting. Check the rotary switch setting. ",,,,HWC
,,,,,ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,ASF30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,PS01 unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,22,ACP31 board was not able to recognize ASF04 board when the control power turned ON.,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,ASF04 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,50,Not able to recognize ACP31#1 board when the control power turned ON.,Setting error,"Check the following settings.
- Check the Upper side of ACP31 board rotary switch setting. Not found the ACP31 board (RSW=0).
- The rotary switch setting is overlapped to the other ACP31 board rotary switch setting. Check the rotary switch setting.",,,,HWC
,,,,,ACP31#1 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,HWC
