YRC1000micro,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,図表1,図表2,詳細説明(技術者用),備考
4000,MEMORY ERROR(TOOL FILE),"An error was detected at memory check.
The memory for the tool file is damaged.",,Sub Code: Tool number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the tool file in maintenance mode, and then load the tool file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
4001,MEMORY ERROR(USER COORD FILE),"An error was detected at memory check.
The memory for the user coordinates file is damaged.",,Sub Code: User coordinate number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the user coordinates file in maintenance mode, and then load the user coordinates file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
4002,MEMORY ERROR(SV MON SIGNAL FILE),"An error was detected at memory check.
The memory for the servo monitor signal file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the servo monitor signal file in maintenance mode, and then load the servo monitor signal file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
4003,MEMORY ERROR(WEAVING FILE),"An error was detected at memory check.
The memory for the weaving condition file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the weaving condition file in maintenance mode, and then load the weaving condition file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
4004,MEMORY ERROR(HOME POS FILE),"An error was detected at memory check.
The memory for the home positioning file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the home positioning file in maintenance mode, and then load the home positioning file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
4005,MEMORY ERROR(SECOND HOME POS),"An error was detected at memory check.
The memory for the second home position file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the second home positioning file in maintenance mode, and then load the second home positioning file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
4011,MEMORY ERROR(FILE DATA),An error was detected at memory check.,243,The memory for the learning control I/O allocation file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the learning control I/O allocation file in maintenance mode, and then load the learning control I/O allocation file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,261,The memory for the IOSPDCTRL setup file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the IOSPDCTRL setup file in maintenance mode, and then load the IOSPDCTRL setup file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,262,The memory for the SETTM SETUP file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the SETTM SETUP in maintenance mode, and then load the SETTM SETUP saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,263,The memory for the TIMER VARIABLE NAME file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the TIMER VARIABLE NAME file in maintenance mode, and then load the TIMER VARIABLE NAME file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,265,The memory for the USER GROUP INPUT file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the USER GROUP INPUT file in maintenance mode, and then load the USER GROUP INPUT file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,266,The memory for the USER GROUP OUTPUT file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the USER GROUP OUTPUT file in maintenance mode, and then load the USER GROUP OUTPUT file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,267,The memory for the SENSPS SETTING DATA is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the SENSPS SETTING DATA in maintenance mode, and then load the SENSPS SETTING DATA saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,268,The memory for the USER ANALOG INPUT file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the USER ANALOG INPUT file in maintenance mode, and then load the USER ANALOG INPUT file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,269,The memory for the USER ANALOG OUTPUT file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the USER ANALOG OUTPUT file in maintenance mode, and then load the USER ANALOG OUTPUT file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,270,The memory for the F-SAFETY SIGNAL ALLOC file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the USER ANALOG OUTPUT file in maintenance mode, and then load the USER ANALOG OUTPUT file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,271,The memory for the SLC EXT. SIGNAL ALLOC file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the ysf logic file in maintenance mode, and then load the ysf logic file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,272,The memory for the ysf logic comment file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the ysf logic file in maintenance mode, and then load the ysf logic file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,273,The memory for the timer set file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the ysf logic file in maintenance mode, and then load the ysf logic file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,277,The memory for the reducer remain time file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the reducer remain time file in maintenance mode, and then load the reducer remain time file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,278,The memory for the ysf logic signal display setup file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the ysf logic file in maintenance mode, and then load the ysf logic file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,284,The memory for the F-SAFETY SIGNAL ALLOC file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the ysf logic file in maintenance mode, and then load the ysf logic file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,285,The memory for the SPECIFIC INPUT COMMENT SET file is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the ysf logic file in maintenance mode, and then load the ysf logic file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,286,The memory for the operating time database is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the operating time database in maintenance mode, and then load the operating time database saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,287,The memory for the operating time database is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the operating time database in maintenance mode, and then load the operating time database saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
,,,288,The memory for the operating time database is damaged.,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the operating time database in maintenance mode, and then load the operating time database saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
