YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,}•\1,}•\2,ŹÚŤ×ŕ–ľ(‹ZŹpŽŇ—p),Notes
5020,VERIFY ERROR (SENSOR PARAMETER),Calc err is occurred when calc parameter at conveyor condition file.,0,USED STATUS is err at condition file1.,Setting error,Check USED STATUS at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,1,PORT NO. is err at condition file1.,Setting error,Check PORT NO. at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,2,BROKEN LINE DETECT is err at condition file1.,Setting error,Check BROKEN LINE DETECT at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,3,ENCODER INPUT is err at condition file1.,Setting error,Check ENCODER INPUT at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,4,ENCODER SIGN is err at condition file1.,Setting error,Check ENCODER SIGN at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,5,CORRECTION is err at condition file1.,Setting error,Check CORRECTION at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,6,VIRTUAL CV SPEED is err at condition file1.,Setting error,Check VIRTUAL CV SPEED at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,7,AVERAGE TRAVEL TIME is err at condition file1.,Setting error,Check AVERAGE TRAVEL TIME at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,8,POS RESOLUTION is err at condition file1.,Setting error,Check POS RESOLUTION at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,9,PERMIT CV QUE is err at condition file1.,Setting error,Check PERMIT CV QUE at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,100,USED STATUS is err at condition file2.,Setting error,Check PORT NO. at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,101,PORT NO. is err at condition file2.,Setting error,Check PORT NO. at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,102,BROKEN LINE DETECT is err at condition file2.,Setting error,Check BROKEN LINE DETECT at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,103,ENCODER INPUT is err at condition file2.,Setting error,Check ENCODER INPUT at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,104,ENCODER SIGN is err at condition file2.,Setting error,Check ENCODER SIGN at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,105,CORRECTION is err at condition file2.,Setting error,Check CORRECTION at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,106,VIRTUAL CV SPEED is err at condition file2.,Setting error,Check VIRTUAL CV SPEED at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,107,AVERAGE TRAVEL TIME is err at condition file2.,Setting error,Check AVERAGE TRAVEL TIME at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,108,POS RESOLUTION is err at condition file2.,Setting error,Check POS RESOLUTION at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,109,PERMIT CV QUE is err at condition file2.,Setting error,Check PERMIT CV QUE at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,200,USED STATUS is err at condition file3.,Setting error,Check USED STATUS at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,201,PORT NO. is err at condition file3.,Setting error,Check PORT NO. at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,202,BROKEN LINE DETECT is err at condition file3.,Setting error,Check BROKEN LINE DETECT at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,203,ENCODER INPUT is err at condition file3.,Setting error,Check ENCODER INPUT at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,204,ENCODER SIGN is err at condition file3.,Setting error,Check ENCODER SIGN at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,205,CORRECTION is err at condition file3.,Setting error,Check CORRECTION at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,206,VIRTUAL CV SPEED is err at condition file3.,Setting error,Check VIRTUAL CV SPEED at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,207,AVERAGE TRAVEL TIME is err at condition file3.,Setting error,Check AVERAGE TRAVEL TIME at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,208,POS RESOLUTION is err at condition file3.,Setting error,Check POS RESOLUTION at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,209,PERMIT CV QUE is err at condition file3.,Setting error,Check PERMIT CV QUE at condition file3.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,300,USED STATUS is err at condition file4.,Setting error,Check USED STATUS at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,301,PORT NO. is err at condition file4.,Setting error,Check PORT NO. at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,302,BROKEN LINE DETECT is err at condition file4.,Setting error,Check BROKEN LINE DETECT at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,303,ENCODER INPUT is err at condition file4.,Setting error,Check ENCODER INPUT at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,304,ENCODER SIGN is err at condition file4.,Setting error,Check ENCODER SIGN at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,305,CORRECTION is err at condition file4.,Setting error,Check CORRECTION at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,306,VIRTUAL CV SPEED is err at condition file4.,Setting error,Check VIRTUAL CV SPEED at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,307,AVERAGE TRAVEL TIME is err at condition file4.,Setting error,Check AVERAGE TRAVEL TIME at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,308,POS RESOLUTION is err at condition file4.,Setting error,Check POS RESOLUTION at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,309,PERMIT CV QUE is err at condition file4.,Setting error,Check PERMIT CV QUE at condition file4.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,400,USED STATUS is err at condition file5.,Setting error,Check USED STATUS at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,401,PORT NO. is err at condition file5.,Setting error,Check PORT NO. at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,402,BROKEN LINE DETECT is err at condition file5.,Setting error,Check BROKEN LINE DETECT at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,403,ENCODER INPUT is err at condition file5.,Setting error,Check ENCODER INPUT at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,404,ENCODER SIGN is err at condition file5.,Setting error,Check ENCODER SIGN at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,405,CORRECTION is err at condition file5.,Setting error,Check CORRECTION at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,406,VIRTUAL CV SPEED is err at condition file5.,Setting error,Check VIRTUAL CV SPEED at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,407,AVERAGE TRAVEL TIME is err at condition file5.,Setting error,Check AVERAGE TRAVEL TIME at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,408,POS RESOLUTION is err at condition file5.,Setting error,Check POS RESOLUTION at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,409,PERMIT CV QUE is err at condition file5.,Setting error,Check PERMIT CV QUE at condition file5.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,500,USED STATUS is err at condition file6.,Setting error,Check USED STATUS at condition file6.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,501,PORT NO. is err at condition file6.,Setting error,Check PORT NO. at condition file6.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,502,BROKEN LINE DETECT is err at condition file6.,Setting error,Check BROKEN LINE DETECT at condition file6.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,503,ENCODER INPUT is err at condition file6.,Setting error,Check ENCODER INPUT at condition file6.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,504,ENCODER SIGN is err at condition file6.,Setting error,Check ENCODER SIGN at condition file6.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,505,CORRECTION is err at condition file6.,Setting error,Check CORRECTION at condition file6.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,506,VIRTUAL CV SPEED is err at condition file6.,Setting error,Check VIRTUAL CV SPEED at condition file6.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,507,AVERAGE TRAVEL TIME is err at condition file6.,Setting error,Check AVERAGE TRAVEL TIME at condition file6.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,508,POS RESOLUTION is err at condition file6.,Setting error,Check POS RESOLUTION at condition file6.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,509,PERMIT CV QUE is err at condition file6.,Setting error,Check PERMIT CV QUE at condition file6.,,,,Conveyor
