YRC1000micro,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,図表1,図表2,詳細説明(技術者用),Notes
6000,SYSTEM ERROR2(PFL),Process is not performed properly on the ASF04 board.,70,Invalid of Axis Speed Monitor Condition File ,Setting error,"(1)Turn the power OFF then back ON.
(2)Confirm the Axis Speed Monitor Condition File number 32 is valid.
(3)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,PFL
,,,,,Other,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
6001,MUTING ERROR(PFL),PFL Speed limitation is invalid during PFL muting operation.,,,Operation mistake,"(1)Reset alarm.
(2)Confirm the robot is crashed.
(3)If PFL function is muted, confirm the safety and resume the robot.",,,,PFL
6002,NEAR SINGULARITY(PFL),"On the singularity, 2 or more axes movement is restricted. If 2 or more axes movement is detected on the singularity, this alarm is occurred.",,,Operation mistake,"(1)Reset alarm.
(2)If the alarm occurs again, confirm if 2 or more axes are moved near singularity in collaborative operation.
(3)Confirm if collision occurs.
(4)Confirm the safety and resume the robot.",,,,PFL
6003,UNDEFINED SPEED LIMIT(PFL),"Speed limitation is required for collaborative operation. If speed limitation is not set, this alarm is occurred.",,,Setting error,"(1)Confirm the setting of speed limit condition file no.31 and 32 in accordance with the manual.
(2)Reset alarm.
(3)Confirm if collision occurs.
(4)Confirm the safety and resume the robot.",,,,PFL
6004,ESCAPE FROM CLAMPING ERROR(PFL),"When clamping is happened, robot moves the any direction which direction decrease the power automatically.
If power is increased greatly during escaping, this alarm is occurred.",,,Operation mistake,"(1)Reset alarm.
(2)If collision occured, confirm the safety and escape from collision.
(3)Confirm if setting of Tool files is correct.
(4)Confirm if torque sensor home position is deviated. If it is deviated, set home position again following Collaborative Operation Instructions. 
(5)If the alarm occurs again, Turn the power OFF then back ON.
(6)If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
,,,,,Near singularity,"If the robot's posture when the alarm occured is near singularity, take the following measures.
(1)Reset alarm.
(2)Confirm if external force of TCP exceeds external force limits in posture when the alarm occured. If it exceeds, it may be improved by changing to a movement that does not pass the posture.
(3)Confirm if external force of TCP exceeds external force limits during operation.
(4)If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
6005,EXTERNAL FORCE ERROR(PFL),Large external force is detected continuously.,,"Sub Code:alarm occurred axis or direction
1-8: Axis number
9-12: TCP(Resultant,X,Y,Z)",Setting error,"(1)Reset alarm.
(2)If collision occured, confirm the safety and escape from collision.
(3)Confirm if setting of Tool files is correct.
(4)Confirm the torque sensor home position. And, if home position is diverged, set correct position again following Collaborative Operation Instructions.
(5)After home position setting, confirm the movement before operation start.",,,,PFL
,,,,,Other,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
